molecule_chembl_id,cleaned_canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2359093,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,intermediate,971.659,7.0339,0.0,5.0,5.301029995663981
CHEMBL4288199,O=C(O)CCCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,intermediate,1115.873,10.88439999999999,2.0,6.0,5.667561540084395
CHEMBL4280292,COCCOCCOCCOCCOC(=O)CCCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,active,1306.112,11.039199999999983,1.0,11.0,6.173925197299173
CHEMBL4279864,COCCOCCOC(=O)CCCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,active,1218.006,11.005999999999982,1.0,9.0,6.552841968657781
CHEMBL4290520,O=C(CCCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12)Nc1cccc2cccnc12,active,1242.035,12.986699999999981,2.0,7.0,6.214670164989233
CHEMBL4286780,O=C(CCCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12)Nc1cccc2ccccc12,active,1241.047,13.59169999999998,2.0,6.0,6.055517327849832
CHEMBL4293664,N#Cc1ccc(/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)cc1,active,414.4000000000001,4.521580000000002,3.0,5.0,6.070581074285707
CHEMBL4285953,O=C(N/N=C/c1ccc(F)cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,intermediate,389.39000000000004,4.649900000000002,3.0,4.0,5.464705879957229
CHEMBL4278693,O=C(N/N=C/c1ccc(Br)cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,active,450.2960000000001,5.2733000000000025,3.0,4.0,6.0
CHEMBL4289359,O=C(N/N=C/c1ccccc1)Nc1ccc(Oc2ccnc3[nH]ccc23)cc1,active,371.40000000000003,4.510800000000002,3.0,4.0,6.1249387366083
CHEMBL4282162,O=C(N/N=C/c1cc(Br)c(O)c(Br)c1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,563.1810000000002,5.880500000000003,4.0,5.0,5.185752404268079
CHEMBL4292774,O=C(N/N=C/c1ccc(O)c(Br)c1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,484.28500000000014,5.118000000000002,4.0,5.0,5.866461091629782
CHEMBL4293004,CC(C)(C)c1cc(/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)cc(C(C)(C)C)c1O,intermediate,517.6050000000002,6.950500000000006,4.0,5.0,5.141462802430361
CHEMBL4291543,COc1ccc(/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)c(OC)c1OC,intermediate,479.4680000000002,4.675700000000003,3.0,7.0,5.52432881167557
CHEMBL4280899,O=C(N/N=C/c1ccc(O)cc1O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,421.3880000000001,4.061100000000001,5.0,6.0,5.341988603342887
CHEMBL4294943,COc1ccc(/C=N/NC(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)cc1,intermediate,419.41600000000005,4.658500000000003,3.0,5.0,5.752026733638194
CHEMBL4284304,O=C(N/N=C/c1ccc(O)cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,405.38900000000007,4.355500000000002,4.0,5.0,5.709965388637482
CHEMBL4284741,O=C(N/N=C/c1ccc(F)cc1Cl)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,441.8250000000001,5.442400000000003,3.0,4.0,5.954677021213342
CHEMBL4292618,O=C(N/N=C/c1ccc(Cl)c(Cl)c1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,458.28000000000014,5.956700000000002,3.0,4.0,5.431798275933005
CHEMBL4277490,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,434.3870000000001,4.558100000000002,3.0,6.0,5.518557371497695
CHEMBL4283069,O=C(N/N=C/c1cccc([N+](=O)[O-])c1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,434.3870000000001,4.558100000000002,3.0,6.0,5.285670240254767
CHEMBL4293243,O=C(N/N=C/c1ccc(F)cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,intermediate,407.38000000000005,4.789000000000002,3.0,4.0,5.411168274405793
CHEMBL4285414,O=C(N/N=C/c1ccc(Br)cc1)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,active,468.2860000000001,5.4124000000000025,3.0,4.0,6.0
